ID,QAPP Name,Revision/Release Date,Project Director,Project Sponsor,Year Covered by QAPP,Analysis Name,Equipment Type,Field Methods,Analytical Methods,Holding Time,Method Detection Limit,Reporting Limit
1,"Interstate Sanitation Commission Project Plan for Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","07/19/91 00:00:00","Alan I. Mytelka","Interstate Sanitation Commission",1991,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
2,"Interstate Sanitation Commission Project Plan for Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","07/19/91 00:00:00","Alan I. Mytelka","Interstate Sanitation Commission",1991,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
3,"Interstate Sanitation Commission Project Plan for Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","07/19/91 00:00:00","Alan I. Mytelka","Interstate Sanitation Commission",1991,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
4,"Interstate Sanitation Commission Project Plan for Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","07/19/91 00:00:00","Alan I. Mytelka","Interstate Sanitation Commission",1991,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #1002G.1.","14 days","N/A","N/A"
5,"Interstate Sanitation Commission Project Plan for Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/26/92 00:00:00","Alan I. Mytelka","Interstate Sanitation Commission",1992,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
6,"Interstate Sanitation Commission Project Plan for Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/26/92 00:00:00","Alan I. Mytelka","Interstate Sanitation Commission",1992,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
7,"Interstate Sanitation Commission Project Plan for Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/26/92 00:00:00","Alan I. Mytelka","Interstate Sanitation Commission",1992,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
8,"Interstate Sanitation Commission Project Plan for Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/26/92 00:00:00","Alan I. Mytelka","Interstate Sanitation Commission",1992,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #1002G.1.","14 days","N/A","N/A"
9,"Interstate Sanitation Commission Project Plan for 1993 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/93 00:00:00","Howard Golub","Interstate Sanitation Commission",1993,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
10,"Interstate Sanitation Commission Project Plan for 1993 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/93 00:00:00","Howard Golub","Interstate Sanitation Commission",1993,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
11,"Interstate Sanitation Commission Project Plan for 1993 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/93 00:00:00","Howard Golub","Interstate Sanitation Commission",1993,"Dissolved Oxygen","Probe; Winkler titrations","in-situ","EPA Method #360.1; EPA Method #360.2","N/A","N/A","N/A"
12,"Interstate Sanitation Commission Project Plan for 1993 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/11/93 00:00:00","Howard Golub","Interstate Sanitation Commission",1993,"Chlorophyll a","Kemmerer sampler","Sample preservation at 4°C in the dark","Standard Methods #1002G.1.","14 days","N/A","N/A"
13,"Interstate Sanitation Commission Project Plan for 1994 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/06/94 00:00:00","Howard Golub","Interstate Sanitation Commission",1994,"Temperature","Probe","in-situ","EPA Method #170.1","N/A","N/A","N/A"
14,"Interstate Sanitation Commission Project Plan for 1994 Ambient Water Quality Monitoring in Long Island Sound for Temperature, Salinity, Dissolved Oxygen and Chlorophyll a","05/06/94 00:00:00","Howard Golub","Interstate Sanitation Commission",1994,"Salinity","Probe","in-situ","Standard Methods #210A","N/A","N/A","N/A"
