,DATE,STATION_ID,CLASS,DEPTH_M,DISSOLVED_OXYGEN_MG_L,TEMPERATURE_C,SALINITY,LON,LAT
1,07/25/91 00:00:00,A1,Bottom,26.0,2.7,18.0,30.0,-73.82666666666667,40.80333333333333
3,07/25/91 00:00:00,A2M,Bottom,35.0,2.8,17.8,20.0,-73.78333333333333,40.80166666666666
5,07/25/91 00:00:00,A3,Bottom,20.4,2.5,18.0,24.0,-73.755,40.84166666666667
7,07/25/91 00:00:00,A4,Bottom,25.8,2.3,18.0,24.0,-73.735,40.87638888888889
9,07/25/91 00:00:00,H-D,Bottom,6.3,1.8,21.5,30.0,-73.66000000000001,40.845
11,07/25/91 00:00:00,H-C,Bottom,8.1,1.5,21.0,30.0,-73.67500000000001,40.865
13,07/25/91 00:00:00,H-C1,Bottom,16.1,3.8,21.0,26.0,-73.69500000000001,40.88666666666666
15,07/25/91 00:00:00,A5,Bottom,13.6,2.0,20.0,25.0,-73.68666666666667,40.89833333333333
17,07/25/91 00:00:00,H-B,Bottom,12.4,2.4,20.0,26.0,-73.715,40.91333333333333
19,07/25/91 00:00:00,H-A3,Bottom,7.5,2.8,20.0,26.0,-73.72,40.92333333333333
21,07/25/91 00:00:00,H-A2,Bottom,6.3,2.7,19.5,26.5,-73.723333,40.928333
23,07/25/91 00:00:00,H-A1,Bottom,4.5,2.4,20.5,26.0,-73.723333,40.926667
25,07/25/91 00:00:00,H-A,Bottom,3.2,3.0,20.5,26.0,-73.725,40.921667
27,07/25/91 00:00:00,MilH,Bottom,2.7,2.6,20.0,25.0,-73.699722,40.943889
29,07/25/91 00:00:00,MamH,Bottom,3.2,2.5,20.5,26.0,-73.715278,40.940833
31,07/31/91 00:00:00,A1,Bottom,24.3,3.2,22.0,26.0,-73.82666666666667,40.80333333333333
33,07/31/91 00:00:00,A2M,Bottom,30.5,2.0,21.5,26.5,-73.78333333333333,40.80166666666666
35,07/31/91 00:00:00,A3,Bottom,25.0,3.0,21.5,26.0,-73.755,40.84166666666667
37,07/31/91 00:00:00,A4,Bottom,25.8,4.2,22.0,26.0,-73.735,40.87638888888889
39,07/31/91 00:00:00,H-D,Bottom,5.5,2.3,22.0,26.0,-73.66000000000001,40.845
41,07/31/91 00:00:00,H-C,Bottom,6.3,2.0,22.0,26.5,-73.67500000000001,40.865
43,07/31/91 00:00:00,H-C1,Bottom,11.2,2.8,21.0,26.0,-73.69500000000001,40.88666666666666
45,07/31/91 00:00:00,A5,Bottom,11.2,4.0,21.0,26.0,-73.68666666666667,40.89833333333333
47,07/31/91 00:00:00,H-B,Bottom,9.3,3.8,21.0,26.5,-73.715,40.91333333333333
49,07/31/91 00:00:00,H-A3,Bottom,3.6,5.6,22.0,27.0,-73.72,40.92333333333333
51,07/31/91 00:00:00,H-A2,Bottom,4.4,5.0,22.5,27.0,-73.723333,40.928333
53,07/31/91 00:00:00,H-A1,Bottom,3.9,5.3,22.5,27.0,-73.723333,40.926667
55,07/31/91 00:00:00,H-A,Bottom,2.7,5.6,22.5,27.0,-73.725,40.921667
57,07/31/91 00:00:00,MilH,Bottom,1.7,5.3,23.0,26.0,-73.699722,40.943889
59,07/31/91 00:00:00,MamH,Bottom,5.1,6.2,23.0,26.5,-73.715278,40.940833
61,08/01/91 00:00:00,B4,Bottom,8.1,3.0,22.0,26.5,-73.635,40.90666666666667
63,08/01/91 00:00:00,B3M,Bottom,14.8,1.5,21.0,26.0,-73.64500000000001,40.91999999999999
