DATE,STATION_ID,CLASS,DEPTH_M,DISSOLVED_OXYGEN_MG_L,TEMPERATURE_C,SALINITY,LAT,LON
1991-07-25,A1,Surface,1.0,7.0,22.0,30.0,40.80333333333333,-73.82666666666667
1991-07-25,A1,Bottom,26.0,2.7,18.0,30.0,40.80333333333333,-73.82666666666667
1991-07-25,A2M,Surface,1.0,3.2,18.5,20.0,40.80166666666666,-73.78333333333333
1991-07-25,A2M,Bottom,35.0,2.8,17.8,20.0,40.80166666666666,-73.78333333333333
1991-07-25,A3,Surface,1.0,5.0,18.5,24.0,40.84166666666667,-73.755
1991-07-25,A3,Bottom,20.4,2.5,18.0,24.0,40.84166666666667,-73.755
1991-07-25,A4,Surface,1.0,6.1,19.0,24.5,40.87638888888889,-73.735
1991-07-25,A4,Bottom,25.8,2.3,18.0,24.0,40.87638888888889,-73.735
1991-07-25,H-D,Surface,1.0,5.2,23.0,31.0,40.845,-73.66000000000001
1991-07-25,H-D,Bottom,6.3,1.8,21.5,30.0,40.845,-73.66000000000001
1991-07-25,H-C,Surface,1.0,8.5,22.5,31.0,40.865,-73.67500000000001
1991-07-25,H-C,Bottom,8.1,1.5,21.0,30.0,40.865,-73.67500000000001
1991-07-25,H-C1,Surface,1.0,6.8,21.5,26.0,40.88666666666666,-73.69500000000001
1991-07-25,H-C1,Bottom,16.1,3.8,21.0,26.0,40.88666666666666,-73.69500000000001
1991-07-25,A5,Surface,1.0,6.0,21.0,26.0,40.89833333333333,-73.68666666666667
1991-07-25,A5,Bottom,13.6,2.0,20.0,25.0,40.89833333333333,-73.68666666666667
1991-07-25,H-B,Surface,1.0,3.5,20.5,26.0,40.91333333333333,-73.715
1991-07-25,H-B,Bottom,12.4,2.4,20.0,26.0,40.91333333333333,-73.715
1991-07-25,H-A3,Surface,1.0,4.0,20.5,26.0,40.92333333333333,-73.72
1991-07-25,H-A3,Bottom,7.5,2.8,20.0,26.0,40.92333333333333,-73.72
1991-07-25,H-A2,Surface,1.0,4.2,19.5,26.5,40.928333,-73.723333
1991-07-25,H-A2,Bottom,6.3,2.7,19.5,26.5,40.928333,-73.723333
1991-07-25,H-A1,Surface,1.0,4.4,20.5,26.0,40.926667,-73.723333
1991-07-25,H-A1,Bottom,4.5,2.4,20.5,26.0,40.926667,-73.723333
1991-07-25,H-A,Surface,1.0,4.1,21.0,26.0,40.921667,-73.725
1991-07-25,H-A,Bottom,3.2,3.0,20.5,26.0,40.921667,-73.725
1991-07-25,MilH,Surface,1.0,3.5,20.5,26.0,40.943889,-73.699722
1991-07-25,MilH,Bottom,2.7,2.6,20.0,25.0,40.943889,-73.699722
1991-07-25,MamH,Surface,1.0,4.2,21.0,26.0,40.940833,-73.715278
1991-07-25,MamH,Bottom,3.2,2.5,20.5,26.0,40.940833,-73.715278
1991-07-31,A1,Surface,1.0,3.5,22.0,26.0,40.80333333333333,-73.82666666666667
1991-07-31,A1,Bottom,24.3,3.2,22.0,26.0,40.80333333333333,-73.82666666666667
1991-07-31,A2M,Surface,1.0,3.7,22.0,26.0,40.80166666666666,-73.78333333333333
1991-07-31,A2M,Bottom,30.5,2.0,21.5,26.5,40.80166666666666,-73.78333333333333
1991-07-31,A3,Surface,1.0,5.4,22.0,26.0,40.84166666666667,-73.755
1991-07-31,A3,Bottom,25.0,3.0,21.5,26.0,40.84166666666667,-73.755
1991-07-31,A4,Surface,1.0,5.8,22.0,26.0,40.87638888888889,-73.735
1991-07-31,A4,Bottom,25.8,4.2,22.0,26.0,40.87638888888889,-73.735
1991-07-31,H-D,Surface,1.0,5.8,22.5,26.5,40.845,-73.66000000000001
1991-07-31,H-D,Bottom,5.5,2.3,22.0,26.0,40.845,-73.66000000000001
1991-07-31,H-C,Surface,1.0,7.5,22.5,26.5,40.865,-73.67500000000001
1991-07-31,H-C,Bottom,6.3,2.0,22.0,26.5,40.865,-73.67500000000001
1991-07-31,H-C1,Surface,1.0,8.5,22.5,26.5,40.88666666666666,-73.69500000000001
1991-07-31,H-C1,Bottom,11.2,2.8,21.0,26.0,40.88666666666666,-73.69500000000001
1991-07-31,A5,Surface,1.0,8.5,22.5,26.5,40.89833333333333,-73.68666666666667
1991-07-31,A5,Bottom,11.2,4.0,21.0,26.0,40.89833333333333,-73.68666666666667
1991-07-31,H-B,Surface,1.0,7.4,22.5,27.0,40.91333333333333,-73.715
1991-07-31,H-B,Bottom,9.3,3.8,21.0,26.5,40.91333333333333,-73.715
1991-07-31,H-A3,Surface,1.0,6.2,22.0,27.0,40.92333333333333,-73.72
1991-07-31,H-A3,Bottom,3.6,5.6,22.0,27.0,40.92333333333333,-73.72
1991-07-31,H-A2,Surface,1.0,7.0,23.0,27.0,40.928333,-73.723333
1991-07-31,H-A2,Bottom,4.4,5.0,22.5,27.0,40.928333,-73.723333
1991-07-31,H-A1,Surface,1.0,6.2,22.5,27.0,40.926667,-73.723333
1991-07-31,H-A1,Bottom,3.9,5.3,22.5,27.0,40.926667,-73.723333
1991-07-31,H-A,Surface,1.0,7.0,23.0,27.0,40.921667,-73.725
1991-07-31,H-A,Bottom,2.7,5.6,22.5,27.0,40.921667,-73.725
1991-07-31,MilH,Surface,1.0,5.5,23.5,27.0,40.943889,-73.699722
1991-07-31,MilH,Bottom,1.7,5.3,23.0,26.0,40.943889,-73.699722
1991-07-31,MamH,Surface,1.0,7.0,23.0,26.5,40.940833,-73.715278
1991-07-31,MamH,Bottom,5.1,6.2,23.0,26.5,40.940833,-73.715278
1991-08-01,B4,Surface,1.0,9.2,23.0,27.0,40.90666666666667,-73.635
1991-08-01,B4,Bottom,8.1,3.0,22.0,26.5,40.90666666666667,-73.635
1991-08-01,B3M,Surface,1.0,10.0,23.0,27.0,40.91999999999999,-73.64500000000001
1991-08-01,B3M,Bottom,14.8,1.5,21.0,26.0,40.91999999999999,-73.64500000000001
1991-08-01,B2,Surface,1.0,8.4,23.0,27.0,40.935,-73.65333333333334
