,DATE,STATION_ID,CLASS,DEPTH_M,DISSOLVED_OXYGEN_MG_L,TEMPERATURE_C,SALINITY,LON,LAT
0,07/25/91 00:00:00,A1,Surface,1.0,7.0,22.0,30.0,-73.82666666666667,40.80333333333333
2,07/25/91 00:00:00,A2M,Surface,1.0,3.2,18.5,20.0,-73.78333333333333,40.80166666666666
4,07/25/91 00:00:00,A3,Surface,1.0,5.0,18.5,24.0,-73.755,40.84166666666667
6,07/25/91 00:00:00,A4,Surface,1.0,6.1,19.0,24.5,-73.735,40.87638888888889
8,07/25/91 00:00:00,H-D,Surface,1.0,5.2,23.0,31.0,-73.66000000000001,40.845
10,07/25/91 00:00:00,H-C,Surface,1.0,8.5,22.5,31.0,-73.67500000000001,40.865
12,07/25/91 00:00:00,H-C1,Surface,1.0,6.8,21.5,26.0,-73.69500000000001,40.88666666666666
14,07/25/91 00:00:00,A5,Surface,1.0,6.0,21.0,26.0,-73.68666666666667,40.89833333333333
16,07/25/91 00:00:00,H-B,Surface,1.0,3.5,20.5,26.0,-73.715,40.91333333333333
18,07/25/91 00:00:00,H-A3,Surface,1.0,4.0,20.5,26.0,-73.72,40.92333333333333
20,07/25/91 00:00:00,H-A2,Surface,1.0,4.2,19.5,26.5,-73.723333,40.928333
22,07/25/91 00:00:00,H-A1,Surface,1.0,4.4,20.5,26.0,-73.723333,40.926667
24,07/25/91 00:00:00,H-A,Surface,1.0,4.1,21.0,26.0,-73.725,40.921667
26,07/25/91 00:00:00,MilH,Surface,1.0,3.5,20.5,26.0,-73.699722,40.943889
28,07/25/91 00:00:00,MamH,Surface,1.0,4.2,21.0,26.0,-73.715278,40.940833
30,07/31/91 00:00:00,A1,Surface,1.0,3.5,22.0,26.0,-73.82666666666667,40.80333333333333
32,07/31/91 00:00:00,A2M,Surface,1.0,3.7,22.0,26.0,-73.78333333333333,40.80166666666666
34,07/31/91 00:00:00,A3,Surface,1.0,5.4,22.0,26.0,-73.755,40.84166666666667
36,07/31/91 00:00:00,A4,Surface,1.0,5.8,22.0,26.0,-73.735,40.87638888888889
38,07/31/91 00:00:00,H-D,Surface,1.0,5.8,22.5,26.5,-73.66000000000001,40.845
40,07/31/91 00:00:00,H-C,Surface,1.0,7.5,22.5,26.5,-73.67500000000001,40.865
42,07/31/91 00:00:00,H-C1,Surface,1.0,8.5,22.5,26.5,-73.69500000000001,40.88666666666666
44,07/31/91 00:00:00,A5,Surface,1.0,8.5,22.5,26.5,-73.68666666666667,40.89833333333333
46,07/31/91 00:00:00,H-B,Surface,1.0,7.4,22.5,27.0,-73.715,40.91333333333333
48,07/31/91 00:00:00,H-A3,Surface,1.0,6.2,22.0,27.0,-73.72,40.92333333333333
50,07/31/91 00:00:00,H-A2,Surface,1.0,7.0,23.0,27.0,-73.723333,40.928333
52,07/31/91 00:00:00,H-A1,Surface,1.0,6.2,22.5,27.0,-73.723333,40.926667
54,07/31/91 00:00:00,H-A,Surface,1.0,7.0,23.0,27.0,-73.725,40.921667
56,07/31/91 00:00:00,MilH,Surface,1.0,5.5,23.5,27.0,-73.699722,40.943889
58,07/31/91 00:00:00,MamH,Surface,1.0,7.0,23.0,26.5,-73.715278,40.940833
60,08/01/91 00:00:00,B4,Surface,1.0,9.2,23.0,27.0,-73.635,40.90666666666667
62,08/01/91 00:00:00,B3M,Surface,1.0,10.0,23.0,27.0,-73.64500000000001,40.91999999999999
64,08/01/91 00:00:00,B2,Surface,1.0,8.4,23.0,27.0,-73.65333333333334,40.935
66,08/01/91 00:00:00,B1S,Surface,1.0,5.8,22.0,27.0,-73.66666666666667,40.94499999999999
68,08/01/91 00:00:00,C1,Surface,1.0,7.8,23.0,27.5,-73.58,40.955
71,08/01/91 00:00:00,C2,Surface,1.0,7.0,23.0,27.0,-73.5,40.985
72,08/05/91 00:00:00,B4,Surface,1.0,8.2,22.5,,-73.635,40.90666666666667
74,08/05/91 00:00:00,B3M,Surface,1.0,8.6,22.5,29.0,-73.64500000000001,40.91999999999999
76,08/05/91 00:00:00,B2,Surface,1.0,8.5,23.0,29.0,-73.65333333333334,40.935
78,08/05/91 00:00:00,B1S,Surface,1.0,6.8,22.5,28.5,-73.66666666666667,40.94499999999999
80,08/05/91 00:00:00,C1,Surface,1.0,7.0,23.0,29.0,-73.58,40.955
82,08/05/91 00:00:00,C2,Surface,1.0,7.5,23.5,29.0,-73.5,40.985
84,08/05/91 00:00:00,D1,Surface,1.0,6.4,23.0,29.0,-73.431667,41.035
86,08/05/91 00:00:00,D2,Surface,1.0,7.5,23.0,28.0,-73.421667,41.015
88,08/05/91 00:00:00,D3M,Surface,1.0,7.5,23.0,28.0,-73.406667,40.983333
90,08/05/91 00:00:00,D4,Surface,1.0,7.0,23.0,27.0,-73.398333,40.968333
92,08/06/91 00:00:00,A1,Surface,1.0,3.8,22.0,26.5,-73.82666666666667,40.80333333333333
94,08/06/91 00:00:00,A2M,Surface,1.0,4.0,22.0,27.0,-73.78333333333333,40.80166666666666
96,08/06/91 00:00:00,A3,Surface,1.0,5.6,22.5,26.5,-73.755,40.84166666666667
98,08/06/91 00:00:00,A4,Surface,1.0,7.2,22.0,27.0,-73.735,40.87638888888889
100,08/06/91 00:00:00,H-D,Surface,1.0,8.8,24.0,27.0,-73.66000000000001,40.845
102,08/06/91 00:00:00,H-C,Surface,1.0,8.4,23.0,27.0,-73.67500000000001,40.865
104,08/06/91 00:00:00,H-C1,Surface,1.0,9.2,23.0,27.0,-73.69500000000001,40.88666666666666
106,08/06/91 00:00:00,A5,Surface,1.0,9.4,23.5,27.0,-73.68666666666667,40.89833333333333
108,08/06/91 00:00:00,H-B,Surface,1.0,9.6,23.0,27.0,-73.715,40.91333333333333
110,08/06/91 00:00:00,H-A3,Surface,1.0,8.0,22.0,26.5,-73.72,40.92333333333333
112,08/06/91 00:00:00,H-A2,Surface,1.0,6.4,22.0,26.5,-73.723333,40.928333
114,08/06/91 00:00:00,H-A1,Surface,1.0,7.2,22.0,27.0,-73.723333,40.926667
116,08/06/91 00:00:00,H-A,Surface,1.0,5.2,21.5,27.0,-73.725,40.921667
118,08/06/91 00:00:00,MilH,Surface,1.0,7.6,23.5,27.0,-73.699722,40.943889
120,08/06/91 00:00:00,MamH,Surface,1.0,5.5,22.5,27.0,-73.715278,40.940833
122,08/12/91 00:00:00,B4,Surface,1.0,,23.0,27.0,-73.635,40.90666666666667
124,08/12/91 00:00:00,B3M,Surface,1.0,8.9,23.0,,-73.64500000000001,40.91999999999999
126,08/12/91 00:00:00,B2,Surface,1.0,9.0,22.5,27.0,-73.65333333333334,40.935
128,08/12/91 00:00:00,B1S,Surface,1.0,9.6,22.0,27.0,-73.66666666666667,40.94499999999999
130,08/12/91 00:00:00,C1,Surface,1.0,7.8,20.0,27.5,-73.58,40.955
132,08/12/91 00:00:00,C2,Surface,1.0,8.1,22.0,28.0,-73.5,40.985
134,08/12/91 00:00:00,D1,Surface,1.0,11.8,,28.0,-73.431667,41.035
136,08/12/91 00:00:00,D2,Surface,1.0,8.0,22.5,28.0,-73.421667,41.015
138,08/12/91 00:00:00,D3M,Surface,1.0,7.5,22.0,28.0,-73.406667,40.983333
140,08/12/91 00:00:00,D4,Surface,1.0,7.3,22.0,28.0,-73.398333,40.968333
142,08/13/91 00:00:00,A1,Surface,1.0,3.7,22.0,26.0,-73.82666666666667,40.80333333333333
144,08/13/91 00:00:00,A2M,Surface,1.0,4.2,21.5,26.5,-73.78333333333333,40.80166666666666
146,08/13/91 00:00:00,A3,Surface,1.0,5.7,22.0,26.5,-73.755,40.84166666666667
148,08/13/91 00:00:00,A4,Surface,1.0,5.3,22.5,26.5,-73.735,40.87638888888889
150,08/13/91 00:00:00,H-D,Surface,1.0,6.8,24.0,27.0,-73.66000000000001,40.845
152,08/13/91 00:00:00,H-C,Surface,1.0,5.7,23.0,27.0,-73.67500000000001,40.865
154,08/13/91 00:00:00,H-C1,Surface,1.0,3.4,23.0,26.5,-73.69500000000001,40.88666666666666
156,08/13/91 00:00:00,A5,Surface,1.0,8.4,23.3,27.0,-73.68666666666667,40.89833333333333
158,08/13/91 00:00:00,H-B,Surface,1.0,8.3,22.5,27.0,-73.715,40.91333333333333
160,08/13/91 00:00:00,H-A3,Surface,1.0,6.0,22.0,27.0,-73.72,40.92333333333333
162,08/13/91 00:00:00,H-A2,Surface,1.0,5.0,23.0,27.0,-73.723333,40.928333
164,08/13/91 00:00:00,H-A1,Surface,1.0,5.9,22.5,27.0,-73.723333,40.926667
166,08/13/91 00:00:00,H-A,Surface,1.0,5.0,23.0,27.0,-73.725,40.921667
168,08/13/91 00:00:00,MilH,Surface,1.0,5.7,24.0,27.0,-73.699722,40.943889
170,08/13/91 00:00:00,MamH,Surface,1.0,5.1,23.0,26.5,-73.715278,40.940833
172,08/20/91 00:00:00,A1,Surface,1.0,3.7,22.0,26.0,-73.82666666666667,40.80333333333333
174,08/20/91 00:00:00,A2M,Surface,1.0,4.2,21.5,26.5,-73.78333333333333,40.80166666666666
176,08/20/91 00:00:00,A3,Surface,1.0,5.7,22.0,26.5,-73.755,40.84166666666667
178,08/21/91 00:00:00,A1,Surface,1.0,3.8,22.2,24.0,-73.82666666666667,40.80333333333333
180,08/21/91 00:00:00,A2M,Surface,1.0,4.2,22.1,24.0,-73.78333333333333,40.80166666666666
182,08/21/91 00:00:00,A3,Surface,1.0,5.2,21.9,25.0,-73.755,40.84166666666667
184,08/21/91 00:00:00,A4,Surface,1.0,5.2,21.6,25.5,-73.735,40.87638888888889
186,08/21/91 00:00:00,H-D,Surface,1.0,4.5,20.2,25.5,-73.66000000000001,40.845
188,08/21/91 00:00:00,H-C,Surface,1.0,5.2,22.3,25.0,-73.67500000000001,40.865
190,08/21/91 00:00:00,H-C1,Surface,1.0,5.8,23.5,25.5,-73.69500000000001,40.88666666666666
192,08/21/91 00:00:00,A5,Surface,1.0,5.6,22.5,25.0,-73.68666666666667,40.89833333333333
194,08/21/91 00:00:00,H-B,Surface,1.0,5.8,22.5,25.5,-73.715,40.91333333333333
196,08/21/91 00:00:00,H-A3,Surface,1.0,6.0,22.5,25.5,-73.72,40.92333333333333
198,08/21/91 00:00:00,H-A2,Surface,1.0,5.8,21.8,24.5,-73.723333,40.928333
200,08/21/91 00:00:00,H-A1,Surface,1.0,4.6,22.0,24.0,-73.723333,40.926667
202,08/21/91 00:00:00,H-A,Surface,1.0,5.5,21.0,24.0,-73.725,40.921667
204,08/21/91 00:00:00,MilH,Surface,1.0,4.4,21.0,25.0,-73.699722,40.943889
206,08/21/91 00:00:00,MamH,Surface,1.0,5.2,20.8,24.0,-73.715278,40.940833
208,08/22/91 00:00:00,B4,Surface,1.0,5.6,22.0,24.0,-73.635,40.90666666666667
210,08/22/91 00:00:00,B3M,Surface,1.0,5.7,22.0,25.0,-73.64500000000001,40.91999999999999
212,08/22/91 00:00:00,B2,Surface,1.0,6.0,21.0,26.0,-73.65333333333334,40.935
214,08/22/91 00:00:00,B1S,Surface,1.0,6.0,21.5,25.0,-73.66666666666667,40.94499999999999
216,08/22/91 00:00:00,C1,Surface,1.0,6.0,22.0,25.0,-73.58,40.955
218,08/22/91 00:00:00,C2,Surface,1.0,6.2,21.5,25.0,-73.5,40.985
220,08/22/91 00:00:00,D1,Surface,1.0,6.5,21.0,26.0,-73.431667,41.035
222,08/22/91 00:00:00,D2,Surface,1.0,5.0,22.0,25.0,-73.421667,41.015
224,08/22/91 00:00:00,D3M,Surface,1.0,5.0,22.0,25.0,-73.406667,40.983333
226,08/22/91 00:00:00,D4,Surface,1.0,5.2,22.0,25.0,-73.398333,40.968333
228,08/26/91 00:00:00,A1,Surface,1.0,4.7,23.0,25.0,-73.82666666666667,40.80333333333333
230,08/26/91 00:00:00,A2M,Surface,1.0,4.8,22.5,25.0,-73.78333333333333,40.80166666666666
232,08/26/91 00:00:00,A3,Surface,1.0,5.8,23.0,25.0,-73.755,40.84166666666667
234,08/26/91 00:00:00,A4,Surface,1.0,5.8,24.0,26.0,-73.735,40.87638888888889
236,08/26/91 00:00:00,H-D,Surface,1.0,6.0,23.0,26.0,-73.66000000000001,40.845
238,08/26/91 00:00:00,H-C,Surface,1.0,7.0,23.0,26.0,-73.67500000000001,40.865
240,08/26/91 00:00:00,H-C1,Surface,1.0,8.0,23.0,27.0,-73.69500000000001,40.88666666666666
242,08/26/91 00:00:00,A5,Surface,1.0,8.0,22.5,27.0,-73.68666666666667,40.89833333333333
244,08/26/91 00:00:00,H-B,Surface,1.0,7.5,23.0,26.5,-73.715,40.91333333333333
246,08/26/91 00:00:00,H-A3,Surface,1.0,8.0,23.0,27.0,-73.72,40.92333333333333
248,08/26/91 00:00:00,H-A2,Surface,1.0,8.2,22.5,27.0,-73.723333,40.928333
250,08/26/91 00:00:00,H-A1,Surface,1.0,8.5,22.5,27.0,-73.723333,40.926667
252,08/26/91 00:00:00,H-A,Surface,1.0,8.0,22.0,27.0,-73.725,40.921667
254,08/26/91 00:00:00,MilH,Surface,1.0,7.7,22.5,26.5,-73.699722,40.943889
256,08/26/91 00:00:00,MamH,Surface,1.0,8.2,23.0,26.0,-73.715278,40.940833
258,08/27/91 00:00:00,B4,Surface,1.0,9.0,22.5,25.0,-73.635,40.90666666666667
260,08/27/91 00:00:00,B3M,Surface,1.0,9.0,22.5,25.0,-73.64500000000001,40.91999999999999
262,08/27/91 00:00:00,B2,Surface,1.0,8.6,23.0,25.5,-73.65333333333334,40.935
264,08/27/91 00:00:00,B1S,Surface,1.0,5.2,23.0,25.5,-73.66666666666667,40.94499999999999
266,08/27/91 00:00:00,C1,Surface,1.0,6.2,22.5,25.5,-73.58,40.955
268,08/27/91 00:00:00,C2,Surface,1.0,7.4,22.5,25.5,-73.5,40.985
270,08/27/91 00:00:00,D1,Surface,1.0,8.0,23.0,26.0,-73.431667,41.035
272,08/27/91 00:00:00,D2,Surface,1.0,7.8,23.0,26.5,-73.421667,41.015
274,08/27/91 00:00:00,D3M,Surface,1.0,7.2,23.0,26.0,-73.406667,40.983333
276,08/27/91 00:00:00,D4,Surface,1.0,8.0,23.0,26.0,-73.398333,40.968333
278,09/03/91 00:00:00,A1,Surface,1.0,5.0,22.1,25.0,-73.82666666666667,40.80333333333333
280,09/03/91 00:00:00,A2M,Surface,1.0,5.4,21.5,25.0,-73.78333333333333,40.80166666666666
282,09/03/91 00:00:00,A3,Surface,1.0,5.7,21.1,25.5,-73.755,40.84166666666667
284,09/03/91 00:00:00,A4,Surface,1.0,6.6,21.2,25.5,-73.735,40.87638888888889
286,09/03/91 00:00:00,H-D,Surface,1.0,8.0,21.8,25.0,-73.66000000000001,40.845
288,09/03/91 00:00:00,H-C,Surface,1.0,9.0,22.2,25.5,-73.67500000000001,40.865
290,09/03/91 00:00:00,H-C1,Surface,1.0,8.0,21.8,25.5,-73.69500000000001,40.88666666666666
